id,i1,f1,s1,s2,b1,t1,d1,dec1,nul1
32,944352,31.04,val-032,unique-00000032,false,2020-01-01T00:00:32.000032Z,2020-02-02,0.32,32
33,380113,32.01,val-033,unique-00000033,true,2020-01-01T00:00:33.000033Z,2020-02-03,0.33,33
34,815874,32.98,val-034,unique-00000034,false,2020-01-01T00:00:34.000034Z,2020-02-04,0.34,34
35,251635,33.95,val-035,unique-00000035,false,2020-01-01T00:00:35.000035Z,2020-02-05,0.35,
36,687396,34.92,val-036,unique-00000036,true,2020-01-01T00:00:36.000036Z,2020-02-06,0.36,36
37,123157,35.89,val-037,unique-00000037,false,2020-01-01T00:00:37.000037Z,2020-02-07,0.37,37
38,558918,36.86,val-038,unique-00000038,false,2020-01-01T00:00:38.000038Z,2020-02-08,0.38,38
39,994679,37.83,val-039,unique-00000039,true,2020-01-01T00:00:39.000039Z,2020-02-09,0.39,39
40,430440,38.8,val-040,unique-00000040,false,2020-01-01T00:00:40.000040Z,2020-02-10,0.4,40
41,866201,39.77,val-041,unique-00000041,false,2020-01-01T00:00:41.000041Z,2020-02-11,0.41,41
42,301962,40.74,val-042,unique-00000042,true,2020-01-01T00:00:42.000042Z,2020-02-12,0.42,
43,737723,41.71,val-043,unique-00000043,false,2020-01-01T00:00:43.000043Z,2020-02-13,0.43,43
44,173484,42.68,val-044,unique-00000044,false,2020-01-01T00:00:44.000044Z,2020-02-14,0.44,44
45,609245,43.65,val-045,unique-00000045,true,2020-01-01T00:00:45.000045Z,2020-02-15,0.45,45
46,45006,44.62,val-046,unique-00000046,false,2020-01-01T00:00:46.000046Z,2020-02-16,0.46,46
47,480767,45.59,val-047,unique-00000047,false,2020-01-01T00:00:47.000047Z,2020-02-17,0.47,47
48,916528,46.56,val-048,unique-00000048,true,2020-01-01T00:00:48.000048Z,2020-02-18,0.48,48
49,352289,47.53,val-049,unique-00000049,false,2020-01-01T00:00:49.000049Z,2020-02-19,0.49,
50,788050,48.5,val-050,unique-00000050,false,2020-01-01T00:00:50.000050Z,2020-02-20,0.5,50
51,223811,49.47,val-051,unique-00000051,true,2020-01-01T00:00:51.000051Z,2020-02-21,0.51,51
52,659572,50.44,val-052,unique-00000052,false,2020-01-01T00:00:52.000052Z,2020-02-22,0.52,52
53,95333,51.41,val-053,unique-00000053,false,2020-01-01T00:00:53.000053Z,2020-02-23,0.53,53
54,531094,52.38,val-054,unique-00000054,true,2020-01-01T00:00:54.000054Z,2020-02-24,0.54,54
55,966855,53.35,val-055,unique-00000055,false,2020-01-01T00:00:55.000055Z,2020-02-25,0.55,55
56,402616,54.32,val-056,unique-00000056,false,2020-01-01T00:00:56.000056Z,2020-02-26,0.56,
57,838377,55.29,val-057,unique-00000057,true,2020-01-01T00:00:57.000057Z,2020-02-27,0.57,57
58,274138,56.26,val-058,unique-00000058,false,2020-01-01T00:00:58.000058Z,2020-02-28,0.58,58
59,709899,57.23,val-059,unique-00000059,false,2020-01-01T00:00:59.000059Z,2020-02-29,0.59,59
60,145660,58.2,val-060,unique-00000060,true,2020-01-01T00:01:00.000060Z,2020-03-01,0.6,60
61,581421,59.17,val-061,unique-00000061,false,2020-01-01T00:01:01.000061Z,2020-03-02,0.61,61
62,17182,60.14,val-062,unique-00000062,false,2020-01-01T00:01:02.000062Z,2020-03-03,0.62,62
63,452943,61.11,val-063,unique-00000063,true,2020-01-01T00:01:03.000063Z,2020-03-04,0.63,
64,888704,62.08,val-064,unique-00000064,false,2020-01-01T00:01:04.000064Z,2020-03-05,0.64,64
65,324465,63.05,val-065,unique-00000065,false,2020-01-01T00:01:05.000065Z,2020-03-06,0.65,65
66,760226,64.02,val-066,unique-00000066,true,2020-01-01T00:01:06.000066Z,2020-03-07,0.66,66
67,195987,64.99,val-067,unique-00000067,false,2020-01-01T00:01:07.000067Z,2020-03-08,0.67,67
68,631748,65.96,val-068,unique-00000068,false,2020-01-01T00:01:08.000068Z,2020-03-09,0.68,68
69,67509,66.93,val-069,unique-00000069,true,2020-01-01T00:01:09.000069Z,2020-03-10,0.69,69
70,503270,67.9,val-070,unique-00000070,false,2020-01-01T00:01:10.000070Z,2020-03-11,0.7,
71,939031,68.87,val-071,unique-00000071,false,2020-01-01T00:01:11.000071Z,2020-03-12,0.71,71
72,374792,69.84,val-072,unique-00000072,true,2020-01-01T00:01:12.000072Z,2020-03-13,0.72,72
73,810553,70.81,val-073,unique-00000073,false,2020-01-01T00:01:13.000073Z,2020-03-14,0.73,73
74,246314,71.78,val-074,unique-00000074,false,2020-01-01T00:01:14.000074Z,2020-03-15,0.74,74
75,682075,72.75,val-075,unique-00000075,true,2020-01-01T00:01:15.000075Z,2020-03-16,0.75,75
76,117836,73.72,val-076,unique-00000076,false,2020-01-01T00:01:16.000076Z,2020-03-17,0.76,76
77,553597,74.69,val-077,unique-00000077,false,2020-01-01T00:01:17.000077Z,2020-03-18,0.77,
78,989358,75.66,val-078,unique-00000078,true,2020-01-01T00:01:18.000078Z,2020-03-19,0.78,78
79,425119,76.63,val-079,unique-00000079,false,2020-01-01T00:01:19.000079Z,2020-03-20,0.79,79
80,860880,77.6,val-080,unique-00000080,false,2020-01-01T00:01:20.000080Z,2020-03-21,0.8,80
81,296641,78.57,val-081,unique-00000081,true,2020-01-01T00:01:21.000081Z,2020-03-22,0.81,81
82,732402,79.54,val-082,unique-00000082,false,2020-01-01T00:01:22.000082Z,2020-03-23,0.82,82
83,168163,80.51,val-083,unique-00000083,false,2020-01-01T00:01:23.000083Z,2020-03-24,0.83,83
84,603924,81.48,val-084,unique-00000084,true,2020-01-01T00:01:24.000084Z,2020-03-25,0.84,
85,39685,82.45,val-085,unique-00000085,false,2020-01-01T00:01:25.000085Z,2020-03-26,0.85,85
86,475446,83.42,val-086,unique-00000086,false,2020-01-01T00:01:26.000086Z,2020-03-27,0.86,86
87,911207,84.39,val-087,unique-00000087,true,2020-01-01T00:01:27.000087Z,2020-03-28,0.87,87
88,346968,85.36,val-088,unique-00000088,false,2020-01-01T00:01:28.000088Z,2020-03-29,0.88,88
89,782729,86.33,val-089,unique-00000089,false,2020-01-01T00:01:29.000089Z,2020-03-30,0.89,89
90,218490,87.3,val-090,unique-00000090,true,2020-01-01T00:01:30.000090Z,2020-03-31,0.9,90
91,654251,88.27,val-091,unique-00000091,false,2020-01-01T00:01:31.000091Z,2020-04-01,0.91,
92,90012,89.24,val-092,unique-00000092,false,2020-01-01T00:01:32.000092Z,2020-04-02,0.92,92
93,525773,90.21,val-093,unique-00000093,true,2020-01-01T00:01:33.000093Z,2020-04-03,0.93,93
94,961534,91.18,val-094,unique-00000094,false,2020-01-01T00:01:34.000094Z,2020-04-04,0.94,94
95,397295,92.15,val-095,unique-00000095,false,2020-01-01T00:01:35.000095Z,2020-04-05,0.95,95
96,833056,93.12,val-096,unique-00000096,true,2020-01-01T00:01:36.000096Z,2020-04-06,0.96,96
97,268817,94.09,val-097,unique-00000097,false,2020-01-01T00:01:37.000097Z,2020-04-07,0.97,97
98,704578,95.06,val-098,unique-00000098,false,2020-01-01T00:01:38.000098Z,2020-04-08,0.98,
99,140339,96.03,val-099,unique-00000099,true,2020-01-01T00:01:39.000099Z,2020-04-09,0.99,99
100,576100,97.0,val-100,unique-00000100,false,2020-01-01T00:01:40.000100Z,2020-04-10,1,100
101,11861,97.97,val-101,unique-00000101,false,2020-01-01T00:01:41.000101Z,2020-04-11,1.01,101
102,447622,98.94,val-102,unique-00000102,true,2020-01-01T00:01:42.000102Z,2020-04-12,1.02,102
103,883383,99.91,val-103,unique-00000103,false,2020-01-01T00:01:43.000103Z,2020-04-13,1.03,103
104,319144,100.88,val-104,unique-00000104,false,2020-01-01T00:01:44.000104Z,2020-04-14,1.04,104
105,754905,101.85,val-105,unique-00000105,true,2020-01-01T00:01:45.000105Z,2020-04-15,1.05,
106,190666,102.82,val-106,unique-00000106,false,2020-01-01T00:01:46.000106Z,2020-04-16,1.06,106
107,626427,103.79,val-107,unique-00000107,false,2020-01-01T00:01:47.000107Z,2020-04-17,1.07,107
108,62188,104.76,val-108,unique-00000108,true,2020-01-01T00:01:48.000108Z,2020-04-18,1.08,108
109,497949,105.73,val-109,unique-00000109,false,2020-01-01T00:01:49.000109Z,2020-04-19,1.09,109
110,933710,106.7,val-110,unique-00000110,false,2020-01-01T00:01:50.000110Z,2020-04-20,1.1,110
111,369471,107.67,val-111,unique-00000111,true,2020-01-01T00:01:51.000111Z,2020-04-21,1.11,111
112,805232,108.64,val-112,unique-00000112,false,2020-01-01T00:01:52.000112Z,2020-04-22,1.12,
113,240993,109.61,val-113,unique-00000113,false,2020-01-01T00:01:53.000113Z,2020-04-23,1.13,113
114,676754,110.58,val-114,unique-00000114,true,2020-01-01T00:01:54.000114Z,2020-04-24,1.14,114
115,112515,111.55,val-115,unique-00000115,false,2020-01-01T00:01:55.000115Z,2020-04-25,1.15,115
116,548276,112.52,val-116,unique-00000116,false,2020-01-01T00:01:56.000116Z,2020-04-26,1.16,116
117,984037,113.49,val-117,unique-00000117,true,2020-01-01T00:01:57.000117Z,2020-04-27,1.17,117
118,419798,114.46,val-118,unique-00000118,false,2020-01-01T00:01:58.000118Z,2020-04-28,1.18,118
119,855559,115.43,val-119,unique-00000119,false,2020-01-01T00:01:59.000119Z,2020-04-29,1.19,
120,291320,116.4,val-120,unique-00000120,true,2020-01-01T00:02:00.000120Z,2020-04-30,1.2,120
121,727081,117.37,val-121,unique-00000121,false,2020-01-01T00:02:01.000121Z,2020-05-01,1.21,121
122,162842,118.34,val-122,unique-00000122,false,2020-01-01T00:02:02.000122Z,2020-05-02,1.22,122
123,598603,119.31,val-123,unique-00000123,true,2020-01-01T00:02:03.000123Z,2020-05-03,1.23,123
124,34364,120.28,val-124,unique-00000124,false,2020-01-01T00:02:04.000124Z,2020-05-04,1.24,124
125,470125,121.25,val-125,unique-00000125,false,2020-01-01T00:02:05.000125Z,2020-05-05,1.25,125
126,905886,122.22,val-126,unique-00000126,true,2020-01-01T00:02:06.000126Z,2020-05-06,1.26,
127,341647,123.19,val-127,unique-00000127,false,2020-01-01T00:02:07.000127Z,2020-05-07,1.27,127
128,777408,124.16,val-128,unique-00000128,false,2020-01-01T00:02:08.000128Z,2020-05-08,1.28,128
129,213169,125.13,val-129,unique-00000129,true,2020-01-01T00:02:09.000129Z,2020-05-09,1.29,129
130,648930,126.1,val-130,unique-00000130,false,2020-01-01T00:02:10.000130Z,2020-05-10,1.3,130
131,84691,127.07,val-131,unique-00000131,false,2020-01-01T00:02:11.000131Z,2020-05-11,1.31,131
132,520452,128.04,val-132,unique-00000132,true,2020-01-01T00:02:12.000132Z,2020-05-12,1.32,132
133,956213,129.01,val-133,unique-00000133,false,2020-01-01T00:02:13.000133Z,2020-05-13,1.33,
134,391974,129.98,val-134,unique-00000134,false,2020-01-01T00:02:14.000134Z,2020-05-14,1.34,134
135,827735,130.95,val-135,unique-00000135,true,2020-01-01T00:02:15.000135Z,2020-05-15,1.35,135
136,263496,131.92,val-136,unique-00000136,false,2020-01-01T00:02:16.000136Z,2020-05-16,1.36,136
137,699257,132.89,val-137,unique-00000137,false,2020-01-01T00:02:17.000137Z,2020-05-17,1.37,137
138,135018,133.86,val-138,unique-00000138,true,2020-01-01T00:02:18.000138Z,2020-05-18,1.38,138
139,570779,134.83,val-139,unique-00000139,false,2020-01-01T00:02:19.000139Z,2020-05-19,1.39,139
140,6540,135.8,val-140,unique-00000140,false,2020-01-01T00:02:20.000140Z,2020-05-20,1.4,
141,442301,136.77,val-141,unique-00000141,true,2020-01-01T00:02:21.000141Z,2020-05-21,1.41,141
142,878062,137.74,val-142,unique-00000142,false,2020-01-01T00:02:22.000142Z,2020-05-22,1.42,142
143,313823,138.71,val-143,unique-00000143,false,2020-01-01T00:02:23.000143Z,2020-05-23,1.43,143
144,749584,139.68,val-144,unique-00000144,true,2020-01-01T00:02:24.000144Z,2020-05-24,1.44,144
145,185345,140.65,val-145,unique-00000145,false,2020-01-01T00:02:25.000145Z,2020-05-25,1.45,145
146,621106,141.62,val-146,unique-00000146,false,2020-01-01T00:02:26.000146Z,2020-05-26,1.46,146
147,56867,142.59,val-147,unique-00000147,true,2020-01-01T00:02:27.000147Z,2020-05-27,1.47,
148,492628,143.56,val-148,unique-00000148,false,2020-01-01T00:02:28.000148Z,2020-05-28,1.48,148
149,928389,144.53,val-149,unique-00000149,false,2020-01-01T00:02:29.000149Z,2020-05-29,1.49,149
150,364150,145.5,val-150,unique-00000150,true,2020-01-01T00:02:30.000150Z,2020-05-30,1.5,150
151,799911,146.47,val-151,unique-00000151,false,2020-01-01T00:02:31.000151Z,2020-05-31,1.51,151
152,235672,147.44,val-152,unique-00000152,false,2020-01-01T00:02:32.000152Z,2020-06-01,1.52,152
153,671433,148.41,val-153,unique-00000153,true,2020-01-01T00:02:33.000153Z,2020-06-02,1.53,153
154,107194,149.38,val-154,unique-00000154,false,2020-01-01T00:02:34.000154Z,2020-06-03,1.54,
155,542955,150.35,val-155,unique-00000155,false,2020-01-01T00:02:35.000155Z,2020-06-04,1.55,155
156,978716,151.32,val-156,unique-00000156,true,2020-01-01T00:02:36.000156Z,2020-06-05,1.56,156
157,414477,152.29,val-157,unique-00000157,false,2020-01-01T00:02:37.000157Z,2020-06-06,1.57,157
158,850238,153.26,val-158,unique-00000158,false,2020-01-01T00:02:38.000158Z,2020-06-07,1.58,158
159,285999,154.23,val-159,unique-00000159,true,2020-01-01T00:02:39.000159Z,2020-06-08,1.59,159
160,721760,155.2,val-160,unique-00000160,false,2020-01-01T00:02:40.000160Z,2020-06-09,1.6,160
161,157521,156.17,val-161,unique-00000161,false,2020-01-01T00:02:41.000161Z,2020-06-10,1.61,
162,593282,157.14,val-162,unique-00000162,true,2020-01-01T00:02:42.000162Z,2020-06-11,1.62,162
163,29043,158.11,val-163,unique-00000163,false,2020-01-01T00:02:43.000163Z,2020-06-12,1.63,163
164,464804,159.08,val-164,unique-00000164,false,2020-01-01T00:02:44.000164Z,2020-06-13,1.64,164
165,900565,160.05,val-165,unique-00000165,true,2020-01-01T00:02:45.000165Z,2020-06-14,1.65,165
166,336326,161.02,val-166,unique-00000166,false,2020-01-01T00:02:46.000166Z,2020-06-15,1.66,166
167,772087,161.99,val-167,unique-00000167,false,2020-01-01T00:02:47.000167Z,2020-06-16,1.67,167
168,207848,162.96,val-168,unique-00000168,true,2020-01-01T00:02:48.000168Z,2020-06-17,1.68,
169,643609,163.93,val-169,unique-00000169,false,2020-01-01T00:02:49.000169Z,2020-06-18,1.69,169
170,79370,164.9,val-170,unique-00000170,false,2020-01-01T00:02:50.000170Z,2020-06-19,1.7,170
171,515131,165.87,val-171,unique-00000171,true,2020-01-01T00:02:51.000171Z,2020-06-20,1.71,171
172,950892,166.84,val-172,unique-00000172,false,2020-01-01T00:02:52.000172Z,2020-06-21,1.72,172
173,386653,167.81,val-173,unique-00000173,false,2020-01-01T00:02:53.000173Z,2020-06-22,1.73,173
174,822414,168.78,val-174,unique-00000174,true,2020-01-01T00:02:54.000174Z,2020-06-23,1.74,174
175,258175,169.75,val-175,unique-00000175,false,2020-01-01T00:02:55.000175Z,2020-06-24,1.75,
176,693936,170.72,val-176,unique-00000176,false,2020-01-01T00:02:56.000176Z,2020-06-25,1.76,176
177,129697,171.69,val-177,unique-00000177,true,2020-01-01T00:02:57.000177Z,2020-06-26,1.77,177
178,565458,172.66,val-178,unique-00000178,false,2020-01-01T00:02:58.000178Z,2020-06-27,1.78,178
179,1219,173.63,val-179,unique-00000179,false,2020-01-01T00:02:59.000179Z,2020-06-28,1.79,179
180,436980,174.6,val-180,unique-00000180,true,2020-01-01T00:03:00.000180Z,2020-06-29,1.8,180
181,872741,175.57,val-181,unique-00000181,false,2020-01-01T00:03:01.000181Z,2020-06-30,1.81,181
182,308502,176.54,val-182,unique-00000182,false,2020-01-01T00:03:02.000182Z,2020-07-01,1.82,
183,744263,177.51,val-183,unique-00000183,true,2020-01-01T00:03:03.000183Z,2020-07-02,1.83,183
184,180024,178.48,val-184,unique-00000184,false,2020-01-01T00:03:04.000184Z,2020-07-03,1.84,184
185,615785,179.45,val-185,unique-00000185,false,2020-01-01T00:03:05.000185Z,2020-07-04,1.85,185
186,51546,180.42,val-186,unique-00000186,true,2020-01-01T00:03:06.000186Z,2020-07-05,1.86,186
187,487307,181.39,val-187,unique-00000187,false,2020-01-01T00:03:07.000187Z,2020-07-06,1.87,187
188,923068,182.36,val-188,unique-00000188,false,2020-01-01T00:03:08.000188Z,2020-07-07,1.88,188
189,358829,183.33,val-189,unique-00000189,true,2020-01-01T00:03:09.000189Z,2020-07-08,1.89,
190,794590,184.3,val-190,unique-00000190,false,2020-01-01T00:03:10.000190Z,2020-07-09,1.9,190
191,230351,185.27,val-191,unique-00000191,false,2020-01-01T00:03:11.000191Z,2020-07-10,1.91,191
192,666112,186.24,val-192,unique-00000192,true,2020-01-01T00:03:12.000192Z,2020-07-11,1.92,192
193,101873,187.21,val-193,unique-00000193,false,2020-01-01T00:03:13.000193Z,2020-07-12,1.93,193
194,537634,188.18,val-194,unique-00000194,false,2020-01-01T00:03:14.000194Z,2020-07-13,1.94,194
195,973395,189.15,val-195,unique-00000195,true,2020-01-01T00:03:15.000195Z,2020-07-14,1.95,195
196,409156,190.12,val-196,unique-00000196,false,2020-01-01T00:03:16.000196Z,2020-07-15,1.96,
197,844917,191.09,val-197,unique-00000197,false,2020-01-01T00:03:17.000197Z,2020-07-16,1.97,197
198,280678,192.06,val-198,unique-00000198,true,2020-01-01T00:03:18.000198Z,2020-07-17,1.98,198
199,716439,193.03,val-199,unique-00000199,false,2020-01-01T00:03:19.000199Z,2020-07-18,1.99,199
200,152200,194.0,val-200,unique-00000200,false,2020-01-01T00:03:20.000200Z,2020-07-19,2,200
201,587961,194.97,val-201,unique-00000201,true,2020-01-01T00:03:21.000201Z,2020-07-20,2.01,201
202,23722,195.94,val-202,unique-00000202,false,2020-01-01T00:03:22.000202Z,2020-07-21,2.02,202
203,459483,196.91,val-203,unique-00000203,false,2020-01-01T00:03:23.000203Z,2020-07-22,2.03,
204,895244,197.88,val-204,unique-00000204,true,2020-01-01T00:03:24.000204Z,2020-07-23,2.04,204
205,331005,198.85,val-205,unique-00000205,false,2020-01-01T00:03:25.000205Z,2020-07-24,2.05,205
206,766766,199.82,val-206,unique-00000206,false,2020-01-01T00:03:26.000206Z,2020-07-25,2.06,206
207,202527,200.79,val-207,unique-00000207,true,2020-01-01T00:03:27.000207Z,2020-07-26,2.07,207
208,638288,201.76,val-208,unique-00000208,false,2020-01-01T00:03:28.000208Z,2020-07-27,2.08,208
209,74049,202.73,val-209,unique-00000209,false,2020-01-01T00:03:29.000209Z,2020-07-28,2.09,209
210,509810,203.7,val-210,unique-00000210,true,2020-01-01T00:03:30.000210Z,2020-07-29,2.1,
211,945571,204.67,val-211,unique-00000211,false,2020-01-01T00:03:31.000211Z,2020-07-30,2.11,211
212,381332,205.64,val-212,unique-00000212,false,2020-01-01T00:03:32.000212Z,2020-07-31,2.12,212
213,817093,206.61,val-213,unique-00000213,true,2020-01-01T00:03:33.000213Z,2020-08-01,2.13,213
214,252854,207.58,val-214,unique-00000214,false,2020-01-01T00:03:34.000214Z,2020-08-02,2.14,214
215,688615,208.55,val-215,unique-00000215,false,2020-01-01T00:03:35.000215Z,2020-08-03,2.15,215
216,124376,209.52,val-216,unique-00000216,true,2020-01-01T00:03:36.000216Z,2020-08-04,2.16,216
217,560137,210.49,val-217,unique-00000217,false,2020-01-01T00:03:37.000217Z,2020-08-05,2.17,
218,995898,211.46,val-218,unique-00000218,false,2020-01-01T00:03:38.000218Z,2020-08-06,2.18,218
219,431659,212.43,val-219,unique-00000219,true,2020-01-01T00:03:39.000219Z,2020-08-07,2.19,219
220,867420,213.4,val-220,unique-00000220,false,2020-01-01T00:03:40.000220Z,2020-08-08,2.2,220
221,303181,214.37,val-221,unique-00000221,false,2020-01-01T00:03:41.000221Z,2020-08-09,2.21,221
222,738942,215.34,val-222,unique-00000222,true,2020-01-01T00:03:42.000222Z,2020-08-10,2.22,222
223,174703,216.31,val-223,unique-00000223,false,2020-01-01T00:03:43.000223Z,2020-08-11,2.23,223
224,610464,217.28,val-224,unique-00000224,false,2020-01-01T00:03:44.000224Z,2020-08-12,2.24,
225,46225,218.25,val-225,unique-00000225,true,2020-01-01T00:03:45.000225Z,2020-08-13,2.25,225
226,481986,219.22,val-226,unique-00000226,false,2020-01-01T00:03:46.000226Z,2020-08-14,2.26,226
227,917747,220.19,val-227,unique-00000227,false,2020-01-01T00:03:47.000227Z,2020-08-15,2.27,227
228,353508,221.16,val-228,unique-00000228,true,2020-01-01T00:03:48.000228Z,2020-08-16,2.28,228
229,789269,222.13,val-229,unique-00000229,false,2020-01-01T00:03:49.000229Z,2020-08-17,2.29,229
230,225030,223.1,val-230,unique-00000230,false,2020-01-01T00:03:50.000230Z,2020-08-18,2.3,230
231,660791,224.07,val-231,unique-00000231,true,2020-01-01T00:03:51.000231Z,2020-08-19,2.31,
232,96552,225.04,val-232,unique-00000232,false,2020-01-01T00:03:52.000232Z,2020-08-20,2.32,232
233,532313,226.01,val-233,unique-00000233,false,2020-01-01T00:03:53.000233Z,2020-08-21,2.33,233
234,968074,226.98,val-234,unique-00000234,true,2020-01-01T00:03:54.000234Z,2020-08-22,2.34,234
235,403835,227.95,val-235,unique-00000235,false,2020-01-01T00:03:55.000235Z,2020-08-23,2.35,235
236,839596,228.92,val-236,unique-00000236,false,2020-01-01T00:03:56.000236Z,2020-08-24,2.36,236
237,275357,229.89,val-237,unique-00000237,true,2020-01-01T00:03:57.000237Z,2020-08-25,2.37,237
238,711118,230.86,val-238,unique-00000238,false,2020-01-01T00:03:58.000238Z,2020-08-26,2.38,
239,146879,231.83,val-239,unique-00000239,false,2020-01-01T00:03:59.000239Z,2020-08-27,2.39,239
240,582640,232.8,val-240,unique-00000240,true,2020-01-01T00:04:00.000240Z,2020-08-28,2.4,240
241,18401,233.77,val-241,unique-00000241,false,2020-01-01T00:04:01.000241Z,2020-08-29,2.41,241
242,454162,234.74,val-242,unique-00000242,false,2020-01-01T00:04:02.000242Z,2020-08-30,2.42,242
243,889923,235.71,val-243,unique-00000243,true,2020-01-01T00:04:03.000243Z,2020-08-31,2.43,243
244,325684,236.68,val-244,unique-00000244,false,2020-01-01T00:04:04.000244Z,2020-09-01,2.44,244
245,761445,237.65,val-245,unique-00000245,false,2020-01-01T00:04:05.000245Z,2020-09-02,2.45,
246,197206,238.62,val-246,unique-00000246,true,2020-01-01T00:04:06.000246Z,2020-09-03,2.46,246
247,632967,239.59,val-247,unique-00000247,false,2020-01-01T00:04:07.000247Z,2020-09-04,2.47,247
248,68728,240.56,val-248,unique-00000248,false,2020-01-01T00:04:08.000248Z,2020-09-05,2.48,248
249,504489,241.53,val-249,unique-00000249,true,2020-01-01T00:04:09.000249Z,2020-09-06,2.49,249
250,940250,242.5,val-250,unique-00000250,false,2020-01-01T00:04:10.000250Z,2020-09-07,2.5,250
251,376011,243.47,val-251,unique-00000251,false,2020-01-01T00:04:11.000251Z,2020-09-08,2.51,251
252,811772,244.44,val-252,unique-00000252,true,2020-01-01T00:04:12.000252Z,2020-09-09,2.52,
253,247533,245.41,val-253,unique-00000253,false,2020-01-01T00:04:13.000253Z,2020-09-10,2.53,253
254,683294,246.38,val-254,unique-00000254,false,2020-01-01T00:04:14.000254Z,2020-09-11,2.54,254
255,119055,247.35,val-255,unique-00000255,true,2020-01-01T00:04:15.000255Z,2020-09-12,2.55,255
256,554816,248.32,val-256,unique-00000256,false,2020-01-01T00:04:16.000256Z,2020-09-13,2.56,256
257,990577,249.29,val-257,unique-00000257,false,2020-01-01T00:04:17.000257Z,2020-09-14,2.57,257
258,426338,250.26,val-258,unique-00000258,true,2020-01-01T00:04:18.000258Z,2020-09-15,2.58,258
259,862099,251.23,val-259,unique-00000259,false,2020-01-01T00:04:19.000259Z,2020-09-16,2.59,
260,297860,252.2,val-260,unique-00000260,false,2020-01-01T00:04:20.000260Z,2020-09-17,2.6,260
261,733621,253.17,val-261,unique-00000261,true,2020-01-01T00:04:21.000261Z,2020-09-18,2.61,261
262,169382,254.14,val-262,unique-00000262,false,2020-01-01T00:04:22.000262Z,2020-09-19,2.62,262
263,605143,255.11,val-263,unique-00000263,false,2020-01-01T00:04:23.000263Z,2020-09-20,2.63,263
