id,region,amount,note
253,r1,93.61,row-00253
254,r2,93.98,row-00254
255,r3,94.35,row-00255
256,r0,94.72,row-00256
257,r1,95.09,row-00257
258,r2,95.46,row-00258
259,r3,95.83,row-00259
260,r0,96.2,row-00260
261,r1,96.57,row-00261
262,r2,96.94,row-00262
263,r3,97.31,row-00263
264,r0,97.68,row-00264
265,r1,98.05,row-00265
266,r2,98.42,row-00266
267,r3,98.79,row-00267
268,r0,99.16,row-00268
269,r1,99.53,row-00269
270,r2,99.9,row-00270
271,r3,100.27,row-00271
272,r0,100.64,row-00272
273,r1,101.01,row-00273
274,r2,101.38,row-00274
275,r3,101.75,row-00275
276,r0,102.12,row-00276
277,r1,102.49,row-00277
278,r2,102.86,row-00278
279,r3,103.23,row-00279
280,r0,103.6,row-00280
281,r1,103.97,row-00281
282,r2,104.34,row-00282
283,r3,104.71,row-00283
284,r0,105.08,row-00284
285,r1,105.45,row-00285
286,r2,105.82,row-00286
287,r3,106.19,row-00287
288,r0,106.56,row-00288
289,r1,106.93,row-00289
290,r2,107.3,row-00290
291,r3,107.67,row-00291
292,r0,108.04,row-00292
293,r1,108.41,row-00293
294,r2,108.78,row-00294
295,r3,109.15,row-00295
296,r0,109.52,row-00296
297,r1,109.89,row-00297
298,r2,110.26,row-00298
299,r3,110.63,row-00299
300,r0,111.0,row-00300
301,r1,111.37,row-00301
302,r2,111.74,row-00302
303,r3,112.11,row-00303
304,r0,112.48,row-00304
305,r1,112.85,row-00305
306,r2,113.22,row-00306
307,r3,113.59,row-00307
308,r0,113.96,row-00308
309,r1,114.33,row-00309
310,r2,114.7,row-00310
311,r3,115.07,row-00311
312,r0,115.44,row-00312
313,r1,115.81,row-00313
314,r2,116.18,row-00314
315,r3,116.55,row-00315
316,r0,116.92,row-00316
317,r1,117.29,row-00317
318,r2,117.66,row-00318
319,r3,118.03,row-00319
320,r0,118.4,row-00320
321,r1,118.77,row-00321
322,r2,119.14,row-00322
323,r3,119.51,row-00323
324,r0,119.88,row-00324
325,r1,120.25,row-00325
326,r2,120.62,row-00326
327,r3,120.99,row-00327
328,r0,121.36,row-00328
329,r1,121.73,row-00329
330,r2,122.1,row-00330
331,r3,122.47,row-00331
332,r0,122.84,row-00332
333,r1,123.21,row-00333
334,r2,123.58,row-00334
335,r3,123.95,row-00335
336,r0,124.32,row-00336
337,r1,124.69,row-00337
338,r2,125.06,row-00338
339,r3,125.43,row-00339
340,r0,125.8,row-00340
341,r1,126.17,row-00341
342,r2,126.54,row-00342
343,r3,126.91,row-00343
344,r0,127.28,row-00344
345,r1,127.65,row-00345
346,r2,128.02,row-00346
347,r3,128.39,row-00347
348,r0,128.76,row-00348
349,r1,129.13,row-00349
350,r2,129.5,row-00350
351,r3,129.87,row-00351
352,r0,130.24,row-00352
353,r1,130.61,row-00353
354,r2,130.98,row-00354
355,r3,131.35,row-00355
356,r0,131.72,row-00356
357,r1,132.09,row-00357
358,r2,132.46,row-00358
359,r3,132.83,row-00359
360,r0,133.2,row-00360
361,r1,133.57,row-00361
362,r2,133.94,row-00362
363,r3,134.31,row-00363
364,r0,134.68,row-00364
365,r1,135.05,row-00365
366,r2,135.42,row-00366
367,r3,135.79,row-00367
368,r0,136.16,row-00368
369,r1,136.53,row-00369
370,r2,136.9,row-00370
371,r3,137.27,row-00371
372,r0,137.64,row-00372
373,r1,138.01,row-00373
374,r2,138.38,row-00374
375,r3,138.75,row-00375
376,r0,139.12,row-00376
377,r1,139.49,row-00377
378,r2,139.86,row-00378
379,r3,140.23,row-00379
380,r0,140.6,row-00380
381,r1,140.97,row-00381
382,r2,141.34,row-00382
383,r3,141.71,row-00383
384,r0,142.08,row-00384
385,r1,142.45,row-00385
386,r2,142.82,row-00386
387,r3,143.19,row-00387
388,r0,143.56,row-00388
389,r1,143.93,row-00389
390,r2,144.3,row-00390
391,r3,144.67,row-00391
392,r0,145.04,row-00392
393,r1,145.41,row-00393
394,r2,145.78,row-00394
395,r3,146.15,row-00395
396,r0,146.52,row-00396
397,r1,146.89,row-00397
398,r2,147.26,row-00398
399,r3,147.63,row-00399
400,r0,148.0,row-00400
401,r1,148.37,row-00401
402,r2,148.74,row-00402
403,r3,149.11,row-00403
404,r0,149.48,row-00404
405,r1,149.85,row-00405
406,r2,150.22,row-00406
407,r3,150.59,row-00407
408,r0,150.96,row-00408
409,r1,151.33,row-00409
410,r2,151.7,row-00410
411,r3,152.07,row-00411
412,r0,152.44,row-00412
413,r1,152.81,row-00413
414,r2,153.18,row-00414
415,r3,153.55,row-00415
416,r0,153.92,row-00416
417,r1,154.29,row-00417
418,r2,154.66,row-00418
419,r3,155.03,row-00419
420,r0,155.4,row-00420
421,r1,155.77,row-00421
422,r2,156.14,row-00422
423,r3,156.51,row-00423
424,r0,156.88,row-00424
425,r1,157.25,row-00425
426,r2,157.62,row-00426
427,r3,157.99,row-00427
428,r0,158.36,row-00428
429,r1,158.73,row-00429
430,r2,159.1,row-00430
431,r3,159.47,row-00431
432,r0,159.84,row-00432
433,r1,160.21,row-00433
434,r2,160.58,row-00434
435,r3,160.95,row-00435
436,r0,161.32,row-00436
437,r1,161.69,row-00437
438,r2,162.06,row-00438
439,r3,162.43,row-00439
440,r0,162.8,row-00440
441,r1,163.17,row-00441
442,r2,163.54,row-00442
443,r3,163.91,row-00443
444,r0,164.28,row-00444
445,r1,164.65,row-00445
446,r2,165.02,row-00446
447,r3,165.39,row-00447
448,r0,165.76,row-00448
449,r1,166.13,row-00449
450,r2,166.5,row-00450
451,r3,166.87,row-00451
452,r0,167.24,row-00452
453,r1,167.61,row-00453
454,r2,167.98,row-00454
455,r3,168.35,row-00455
456,r0,168.72,row-00456
457,r1,169.09,row-00457
458,r2,169.46,row-00458
459,r3,169.83,row-00459
460,r0,170.2,row-00460
461,r1,170.57,row-00461
462,r2,170.94,row-00462
463,r3,171.31,row-00463
464,r0,171.68,row-00464
465,r1,172.05,row-00465
466,r2,172.42,row-00466
467,r3,172.79,row-00467
468,r0,173.16,row-00468
469,r1,173.53,row-00469
470,r2,173.9,row-00470
471,r3,174.27,row-00471
472,r0,174.64,row-00472
473,r1,175.01,row-00473
474,r2,175.38,row-00474
475,r3,175.75,row-00475
476,r0,176.12,row-00476
477,r1,176.49,row-00477
478,r2,176.86,row-00478
479,r3,177.23,row-00479
480,r0,177.6,row-00480
481,r1,177.97,row-00481
482,r2,178.34,row-00482
483,r3,178.71,row-00483
484,r0,179.08,row-00484
485,r1,179.45,row-00485
486,r2,179.82,row-00486
487,r3,180.19,row-00487
488,r0,180.56,row-00488
489,r1,180.93,row-00489
490,r2,181.3,row-00490
491,r3,181.67,row-00491
492,r0,182.04,row-00492
493,r1,182.41,row-00493
494,r2,182.78,row-00494
495,r3,183.15,row-00495
496,r0,183.52,row-00496
497,r1,183.89,row-00497
498,r2,184.26,row-00498
499,r3,184.63,row-00499
500,r0,185.0,row-00500
501,r1,185.37,row-00501
502,r2,185.74,row-00502
503,r3,186.11,row-00503
504,r0,186.48,row-00504
505,r1,186.85,row-00505
506,r2,187.22,row-00506
507,r3,187.59,row-00507
508,r0,187.96,row-00508
509,r1,188.33,row-00509
510,r2,188.7,row-00510
511,r3,189.07,row-00511
512,r0,189.44,row-00512
513,r1,189.81,row-00513
514,r2,190.18,row-00514
515,r3,190.55,row-00515
516,r0,190.92,row-00516
517,r1,191.29,row-00517
518,r2,191.66,row-00518
519,r3,192.03,row-00519
520,r0,192.4,row-00520
521,r1,192.77,row-00521
522,r2,193.14,row-00522
523,r3,193.51,row-00523
524,r0,193.88,row-00524
525,r1,194.25,row-00525
526,r2,194.62,row-00526
527,r3,194.99,row-00527
528,r0,195.36,row-00528
529,r1,195.73,row-00529
530,r2,196.1,row-00530
531,r3,196.47,row-00531
532,r0,196.84,row-00532
533,r1,197.21,row-00533
534,r2,197.58,row-00534
535,r3,197.95,row-00535
536,r0,198.32,row-00536
537,r1,198.69,row-00537
538,r2,199.06,row-00538
539,r3,199.43,row-00539
540,r0,199.8,row-00540
541,r1,200.17,row-00541
542,r2,200.54,row-00542
543,r3,200.91,row-00543
544,r0,201.28,row-00544
545,r1,201.65,row-00545
546,r2,202.02,row-00546
547,r3,202.39,row-00547
548,r0,202.76,row-00548
549,r1,203.13,row-00549
550,r2,203.5,row-00550
551,r3,203.87,row-00551
552,r0,204.24,row-00552
553,r1,204.61,row-00553
554,r2,204.98,row-00554
555,r3,205.35,row-00555
556,r0,205.72,row-00556
557,r1,206.09,row-00557
558,r2,206.46,row-00558
559,r3,206.83,row-00559
560,r0,207.2,row-00560
561,r1,207.57,row-00561
562,r2,207.94,row-00562
563,r3,208.31,row-00563
564,r0,208.68,row-00564
565,r1,209.05,row-00565
566,r2,209.42,row-00566
567,r3,209.79,row-00567
568,r0,210.16,row-00568
569,r1,210.53,row-00569
570,r2,210.9,row-00570
571,r3,211.27,row-00571
572,r0,211.64,row-00572
573,r1,212.01,row-00573
574,r2,212.38,row-00574
575,r3,212.75,row-00575
576,r0,213.12,row-00576
577,r1,213.49,row-00577
578,r2,213.86,row-00578
579,r3,214.23,row-00579
580,r0,214.6,row-00580
581,r1,214.97,row-00581
582,r2,215.34,row-00582
583,r3,215.71,row-00583
584,r0,216.08,row-00584
585,r1,216.45,row-00585
586,r2,216.82,row-00586
587,r3,217.19,row-00587
588,r0,217.56,row-00588
589,r1,217.93,row-00589
590,r2,218.3,row-00590
591,r3,218.67,row-00591
592,r0,219.04,row-00592
593,r1,219.41,row-00593
594,r2,219.78,row-00594
595,r3,220.15,row-00595
596,r0,220.52,row-00596
597,r1,220.89,row-00597
598,r2,221.26,row-00598
599,r3,221.63,row-00599
600,r0,222.0,row-00600
601,r1,222.37,row-00601
602,r2,222.74,row-00602
603,r3,223.11,row-00603
604,r0,223.48,row-00604
605,r1,223.85,row-00605
606,r2,224.22,row-00606
607,r3,224.59,row-00607
608,r0,224.96,row-00608
609,r1,225.33,row-00609
610,r2,225.7,row-00610
611,r3,226.07,row-00611
612,r0,226.44,row-00612
613,r1,226.81,row-00613
614,r2,227.18,row-00614
615,r3,227.55,row-00615
616,r0,227.92,row-00616
617,r1,228.29,row-00617
618,r2,228.66,row-00618
619,r3,229.03,row-00619
620,r0,229.4,row-00620
621,r1,229.77,row-00621
622,r2,230.14,row-00622
623,r3,230.51,row-00623
624,r0,230.88,row-00624
625,r1,231.25,row-00625
626,r2,231.62,row-00626
627,r3,231.99,row-00627
628,r0,232.36,row-00628
629,r1,232.73,row-00629
630,r2,233.1,row-00630
631,r3,233.47,row-00631
632,r0,233.84,row-00632
633,r1,234.21,row-00633
634,r2,234.58,row-00634
635,r3,234.95,row-00635
636,r0,235.32,row-00636
637,r1,235.69,row-00637
638,r2,236.06,row-00638
639,r3,236.43,row-00639
640,r0,236.8,row-00640
641,r1,237.17,row-00641
642,r2,237.54,row-00642
643,r3,237.91,row-00643
644,r0,238.28,row-00644
645,r1,238.65,row-00645
646,r2,239.02,row-00646
647,r3,239.39,row-00647
648,r0,239.76,row-00648
649,r1,240.13,row-00649
650,r2,240.5,row-00650
651,r3,240.87,row-00651
652,r0,241.24,row-00652
653,r1,241.61,row-00653
654,r2,241.98,row-00654
655,r3,242.35,row-00655
656,r0,242.72,row-00656
657,r1,243.09,row-00657
658,r2,243.46,row-00658
659,r3,243.83,row-00659
660,r0,244.2,row-00660
661,r1,244.57,row-00661
662,r2,244.94,row-00662
663,r3,245.31,row-00663
664,r0,245.68,row-00664
665,r1,246.05,row-00665
666,r2,246.42,row-00666
667,r3,246.79,row-00667
668,r0,247.16,row-00668
669,r1,247.53,row-00669
670,r2,247.9,row-00670
671,r3,248.27,row-00671
672,r0,248.64,row-00672
673,r1,249.01,row-00673
674,r2,249.38,row-00674
675,r3,249.75,row-00675
676,r0,250.12,row-00676
677,r1,250.49,row-00677
678,r2,250.86,row-00678
679,r3,251.23,row-00679
680,r0,251.6,row-00680
681,r1,251.97,row-00681
682,r2,252.34,row-00682
683,r3,252.71,row-00683
684,r0,253.08,row-00684
685,r1,253.45,row-00685
686,r2,253.82,row-00686
687,r3,254.19,row-00687
688,r0,254.56,row-00688
689,r1,254.93,row-00689
690,r2,255.3,row-00690
691,r3,255.67,row-00691
692,r0,256.04,row-00692
693,r1,256.41,row-00693
694,r2,256.78,row-00694
695,r3,257.15,row-00695
696,r0,257.52,row-00696
697,r1,257.89,row-00697
698,r2,258.26,row-00698
699,r3,258.63,row-00699
700,r0,259.0,row-00700
701,r1,259.37,row-00701
702,r2,259.74,row-00702
703,r3,260.11,row-00703
704,r0,260.48,row-00704
705,r1,260.85,row-00705
706,r2,261.22,row-00706
707,r3,261.59,row-00707
708,r0,261.96,row-00708
709,r1,262.33,row-00709
710,r2,262.7,row-00710
711,r3,263.07,row-00711
712,r0,263.44,row-00712
713,r1,263.81,row-00713
714,r2,264.18,row-00714
715,r3,264.55,row-00715
716,r0,264.92,row-00716
717,r1,265.29,row-00717
718,r2,265.66,row-00718
719,r3,266.03,row-00719
720,r0,266.4,row-00720
721,r1,266.77,row-00721
722,r2,267.14,row-00722
723,r3,267.51,row-00723
724,r0,267.88,row-00724
725,r1,268.25,row-00725
726,r2,268.62,row-00726
727,r3,268.99,row-00727
728,r0,269.36,row-00728
729,r1,269.73,row-00729
730,r2,270.1,row-00730
731,r3,270.47,row-00731
732,r0,270.84,row-00732
733,r1,271.21,row-00733
734,r2,271.58,row-00734
735,r3,271.95,row-00735
736,r0,272.32,row-00736
737,r1,272.69,row-00737
738,r2,273.06,row-00738
739,r3,273.43,row-00739
740,r0,273.8,row-00740
741,r1,274.17,row-00741
742,r2,274.54,row-00742
743,r3,274.91,row-00743
744,r0,275.28,row-00744
745,r1,275.65,row-00745
746,r2,276.02,row-00746
747,r3,276.39,row-00747
748,r0,276.76,row-00748
749,r1,277.13,row-00749
750,r2,277.5,row-00750
751,r3,277.87,row-00751
752,r0,278.24,row-00752
753,r1,278.61,row-00753
754,r2,278.98,row-00754
755,r3,279.35,row-00755
756,r0,279.72,row-00756
757,r1,280.09,row-00757
758,r2,280.46,row-00758
759,r3,280.83,row-00759
760,r0,281.2,row-00760
761,r1,281.57,row-00761
762,r2,281.94,row-00762
763,r3,282.31,row-00763
764,r0,282.68,row-00764
765,r1,283.05,row-00765
766,r2,283.42,row-00766
767,r3,283.79,row-00767
768,r0,284.16,row-00768
769,r1,284.53,row-00769
770,r2,284.9,row-00770
771,r3,285.27,row-00771
772,r0,285.64,row-00772
773,r1,286.01,row-00773
774,r2,286.38,row-00774
775,r3,286.75,row-00775
776,r0,287.12,row-00776
777,r1,287.49,row-00777
778,r2,287.86,row-00778
779,r3,288.23,row-00779
780,r0,288.6,row-00780
781,r1,288.97,row-00781
782,r2,289.34,row-00782
783,r3,289.71,row-00783
784,r0,290.08,row-00784
785,r1,290.45,row-00785
786,r2,290.82,row-00786
787,r3,291.19,row-00787
788,r0,291.56,row-00788
789,r1,291.93,row-00789
790,r2,292.3,row-00790
791,r3,292.67,row-00791
792,r0,293.04,row-00792
793,r1,293.41,row-00793
794,r2,293.78,row-00794
795,r3,294.15,row-00795
796,r0,294.52,row-00796
797,r1,294.89,row-00797
798,r2,295.26,row-00798
799,r3,295.63,row-00799
800,r0,296.0,row-00800
801,r1,296.37,row-00801
802,r2,296.74,row-00802
803,r3,297.11,row-00803
804,r0,297.48,row-00804
805,r1,297.85,row-00805
806,r2,298.22,row-00806
807,r3,298.59,row-00807
808,r0,298.96,row-00808
809,r1,299.33,row-00809
810,r2,299.7,row-00810
811,r3,300.07,row-00811
812,r0,300.44,row-00812
813,r1,300.81,row-00813
814,r2,301.18,row-00814
815,r3,301.55,row-00815
816,r0,301.92,row-00816
817,r1,302.29,row-00817
818,r2,302.66,row-00818
819,r3,303.03,row-00819
820,r0,303.4,row-00820
821,r1,303.77,row-00821
822,r2,304.14,row-00822
823,r3,304.51,row-00823
824,r0,304.88,row-00824
825,r1,305.25,row-00825
826,r2,305.62,row-00826
827,r3,305.99,row-00827
828,r0,306.36,row-00828
829,r1,306.73,row-00829
830,r2,307.1,row-00830
831,r3,307.47,row-00831
832,r0,307.84,row-00832
833,r1,308.21,row-00833
834,r2,308.58,row-00834
835,r3,308.95,row-00835
836,r0,309.32,row-00836
837,r1,309.69,row-00837
838,r2,310.06,row-00838
839,r3,310.43,row-00839
840,r0,310.8,row-00840
841,r1,311.17,row-00841
842,r2,311.54,row-00842
843,r3,311.91,row-00843
844,r0,312.28,row-00844
845,r1,312.65,row-00845
846,r2,313.02,row-00846
847,r3,313.39,row-00847
848,r0,313.76,row-00848
849,r1,314.13,row-00849
850,r2,314.5,row-00850
851,r3,314.87,row-00851
852,r0,315.24,row-00852
853,r1,315.61,row-00853
854,r2,315.98,row-00854
855,r3,316.35,row-00855
856,r0,316.72,row-00856
857,r1,317.09,row-00857
858,r2,317.46,row-00858
859,r3,317.83,row-00859
860,r0,318.2,row-00860
861,r1,318.57,row-00861
862,r2,318.94,row-00862
863,r3,319.31,row-00863
864,r0,319.68,row-00864
865,r1,320.05,row-00865
866,r2,320.42,row-00866
867,r3,320.79,row-00867
868,r0,321.16,row-00868
869,r1,321.53,row-00869
870,r2,321.9,row-00870
871,r3,322.27,row-00871
872,r0,322.64,row-00872
873,r1,323.01,row-00873
874,r2,323.38,row-00874
875,r3,323.75,row-00875
876,r0,324.12,row-00876
877,r1,324.49,row-00877
878,r2,324.86,row-00878
879,r3,325.23,row-00879
880,r0,325.6,row-00880
881,r1,325.97,row-00881
882,r2,326.34,row-00882
883,r3,326.71,row-00883
884,r0,327.08,row-00884
885,r1,327.45,row-00885
886,r2,327.82,row-00886
887,r3,328.19,row-00887
888,r0,328.56,row-00888
889,r1,328.93,row-00889
890,r2,329.3,row-00890
891,r3,329.67,row-00891
892,r0,330.04,row-00892
893,r1,330.41,row-00893
894,r2,330.78,row-00894
895,r3,331.15,row-00895
896,r0,331.52,row-00896
897,r1,331.89,row-00897
898,r2,332.26,row-00898
899,r3,332.63,row-00899
900,r0,333.0,row-00900
901,r1,333.37,row-00901
902,r2,333.74,row-00902
903,r3,334.11,row-00903
904,r0,334.48,row-00904
905,r1,334.85,row-00905
906,r2,335.22,row-00906
907,r3,335.59,row-00907
908,r0,335.96,row-00908
909,r1,336.33,row-00909
910,r2,336.7,row-00910
911,r3,337.07,row-00911
912,r0,337.44,row-00912
913,r1,337.81,row-00913
914,r2,338.18,row-00914
915,r3,338.55,row-00915
916,r0,338.92,row-00916
917,r1,339.29,row-00917
918,r2,339.66,row-00918
919,r3,340.03,row-00919
920,r0,340.4,row-00920
921,r1,340.77,row-00921
922,r2,341.14,row-00922
923,r3,341.51,row-00923
924,r0,341.88,row-00924
925,r1,342.25,row-00925
926,r2,342.62,row-00926
927,r3,342.99,row-00927
928,r0,343.36,row-00928
929,r1,343.73,row-00929
930,r2,344.1,row-00930
931,r3,344.47,row-00931
932,r0,344.84,row-00932
933,r1,345.21,row-00933
934,r2,345.58,row-00934
935,r3,345.95,row-00935
936,r0,346.32,row-00936
937,r1,346.69,row-00937
938,r2,347.06,row-00938
939,r3,347.43,row-00939
940,r0,347.8,row-00940
941,r1,348.17,row-00941
942,r2,348.54,row-00942
943,r3,348.91,row-00943
944,r0,349.28,row-00944
945,r1,349.65,row-00945
946,r2,350.02,row-00946
947,r3,350.39,row-00947
948,r0,350.76,row-00948
949,r1,351.13,row-00949
950,r2,351.5,row-00950
951,r3,351.87,row-00951
952,r0,352.24,row-00952
953,r1,352.61,row-00953
954,r2,352.98,row-00954
955,r3,353.35,row-00955
956,r0,353.72,row-00956
957,r1,354.09,row-00957
958,r2,354.46,row-00958
959,r3,354.83,row-00959
960,r0,355.2,row-00960
961,r1,355.57,row-00961
962,r2,355.94,row-00962
963,r3,356.31,row-00963
964,r0,356.68,row-00964
965,r1,357.05,row-00965
966,r2,357.42,row-00966
967,r3,357.79,row-00967
968,r0,358.16,row-00968
969,r1,358.53,row-00969
970,r2,358.9,row-00970
971,r3,359.27,row-00971
972,r0,359.64,row-00972
973,r1,360.01,row-00973
974,r2,360.38,row-00974
975,r3,360.75,row-00975
976,r0,361.12,row-00976
977,r1,361.49,row-00977
978,r2,361.86,row-00978
979,r3,362.23,row-00979
980,r0,362.6,row-00980
981,r1,362.97,row-00981
982,r2,363.34,row-00982
983,r3,363.71,row-00983
984,r0,364.08,row-00984
985,r1,364.45,row-00985
986,r2,364.82,row-00986
987,r3,365.19,row-00987
988,r0,365.56,row-00988
989,r1,365.93,row-00989
990,r2,366.3,row-00990
991,r3,366.67,row-00991
992,r0,367.04,row-00992
993,r1,367.41,row-00993
994,r2,367.78,row-00994
995,r3,368.15,row-00995
996,r0,368.52,row-00996
997,r1,368.89,row-00997
